league | aatrox | noun | 아트록스 | aatrox is a strong blind pick | 아트록스는 무난한 선픽이야
league | aatrox | noun | 아트록스 | Aatrox is impossible to dive once he hits level 6. | 아트록스 6렙 찍으면 다이브 치기가 힘들어
league | aatrox | noun | 아트록스 | Their Aatrox solo killed our top three times already. | 상대 아트록스가 벌써 탑 솔킬 세 번 냈어
league | aatrox | noun | 아트록스 | Pick Aatrox if you want a safe top lane. | 탑 무난하게 가려면 아트록스 뽑아
league | aatrox | noun | 아트 | aatrox heals his entire hp bar in one q | 아트 Q 한 방에 풀피 채우는 거 봐라
league | aatrox | noun | 아트 | I swear Aatrox heals more than our support. | 아트가 우리 서폿보다 더 잘 채우는 거 같아
league | aatrox | noun | 아트 | Don't fight Aatrox inside his ult. | 아트 궁 켜졌을 때 싸우지 마
league | aatrox | noun | 아트 | Aatrox went from one HP to full in five seconds. | 아트 1피에서 5초 만에 풀피 됐어
league | aatrox | noun | 아트 | Watching Aatrox heal through ignite feels illegal. | 아트 점화 맞고도 피 풀로 채우는 거 어이없네
league | ability haste | noun | 쿨감 | Ability haste lets Riven spam shields. | 쿨감 있으면 리븐이 방호막 계속 돌려.
league | ability haste | noun | 쿨감 | I need more ability haste. | 쿨감 더 챙겨야겠다.
league | ability haste | noun | 쿨감 | Stack ability haste and spam spells. | 쿨감 올리고 스킬 난사해.
league | ability haste | noun | 쿨감 | This build gives tons of ability haste. | 이 빌드 쿨감 엄청 주네.
league | ability haste | noun | 스킬 가속 | ability haste reduces the cooldown of your abilities | 스킬 가속은 네 스킬 쿨타임을 줄여줘
league | ability power | noun | 주문력 | I need more ability power before we fight. | 싸우기 전에 주문력 좀 더 올려야 돼.
league | ability power | noun | 주문력 | Stack more ability power. | 주문력 더 올려.
league | ability power | noun | 주문력 | I need AP fast. | 주문력 빨리 뽑아야 돼.
league | ability power | noun | 주문력 | Ability power solves everything. | 주문력만 있으면 된다.
league | ability power | noun | 주문력 | mages rely on high ability power to clear waves | 메이지들은 라인 클리어 하려고 높은 주문력에 의존해
league | absolute focus | noun | 절대 집중 | absolute focus gives bonus stats when above seventy percent health | 절대 집중은 피 70퍼 이상일 때 추가 스탯을 줘
league | absolute focus | noun | 절집 | taking absolute focus to one shot the wave | 웨이브 원콤 내려고 절집 들었어
league | absolute vision | noun | 타워 시야 | Turrets give absolute vision, don't dive. | 타워 시야 있어서 다이브 치면 안 돼.
league | absolute vision | noun | 절대 시야 | Nexus turrets have absolute vision. | 쌍둥이 포탑은 절대 시야 있어.
league | absolute vision | noun | 절대 시야 | They have absolute vision here. | 여기 절대 시야 잡혀 있어.
league | absolute vision | noun | 절대 시야 | You can't hide from absolute vision. | 절대 시야는 못 피한다.
league | abuse | verb | 버그악용하다 | bug abusing in ranked is a ban | 랭크에서 버그악용하면 정지야
league | abuse | verb | 꿀챔사용하다 | everyone is abusing this broken ap shaco build until they hotfix it | 긴급패치 전까지 다들 이 사기적인 에이피 샤코 빌드로 꿀챔사용하네
league | abuse | verb | 버그악용하다 | report him he is literally abusing a bug to shot through the fog of war | 쟤 전장의 안개 뚫고 공격하는 버그악용하니까 리폿해
league | abuse | verb | 꿀챔사용하다 | everyone is abusing this broken ap shaco build | 모두가 이 사기적인 AP 샤코 빌드로 꿀챔사용하네
league | aced | predicate | 에이스당하다 | getting aced at 40 minutes means game over | 40분에 에이스당하는 건 걍 겜 끝났다는 뜻이야
league | active | noun | 사용 효과 | Don't forget your Zhonya active. | 존야 사용 효과 잊지 마.
league | active | noun | 사용 효과 | Use your active next fight. | 다음 한타엔 사용 효과 써.
league | active | noun | 사용 효과 | I forgot my active again. | 또 사용 효과 까먹었네.
league | active | noun | 사용 효과 | That active saved him. | 사용 효과로 살았네.
league | AD | noun | 공격력 | they have full ad comp | 쟤네 올 공격력 조합이야
league | AD | noun | 물뎀 | building armor against full ad is free elo | 올 물뎀 상대로 방어력 올리면 꽁승이지
league | AD carry | noun | 원딜러 | we got the best ad carry | 우리가 최고 원딜러 잡았어
league | AD carry | noun | 원딜러 | peeling the ad carry is optional in soloq | 솔랭에서 원딜러 지켜주는 건 걍 선택 사항이지
league | AD scaling | noun | AD 계수 | Aatrox has massive AD scaling. | 아트록스 AD 계수 엄청 높아.
league | AD scaling | noun | AD 계수 | This skill has crazy AD scaling. | 이 스킬 AD 계수 미쳤네.
league | AD scaling | noun | AD 계수 | His AD scaling carries the late game. | 쟤는 AD 계수 덕분에 후반이 세.
league | AD scaling | noun | AD 계수 | Riot nerfed the AD scaling. | 라이엇이 AD 계수 너프했네.
league | ADC | noun | 원딜 | protect the adc | 원딜 지켜
league | ADC | noun | 에이디씨 | adc is a completely dead role | 에이디씨는 완전 죽은 포지션이야
league | ADC | noun | 원딜러 | we got the best adc | 우리가 최고 원딜러 잡았어
league | ADC | noun | 원거리 딜러 | playing adc in this meta is pure pain | 이 메타에서 원거리 딜러 하는 건 순수 고통이야
league | ADC | noun | 에이디씨 | playing a marksman in 2026 is pure torture | 2026년에 에이디씨 하는 건 순수 고문이야
league | ADC gap | noun | ㅇㄷㅊㅇ | pure adc gap in bot lane | 바텀 완전 순수 ㅇㄷㅊㅇ임
league | ADC gap | noun | 원딜 차이 | losing every 2v2 is a massive adc gap | 2대2 교전 다 지는 건 진짜 심각한 원딜 차이지
league | ADC gap | noun | 원딜 차이 | We couldn't contest objectives because of the adc gap. | 원딜 차이 때문에 오브젝트 싸움 자체가 안 됐어
league | ADC gap | noun | 원딜 차이 | That last teamfight was decided by pure adc gap. | 마지막 한타는 그냥 순수 원딜 차이였어
league | ADC gap | noun | 원딜 차이 | Their ADC had twice the damage, obvious adc gap. | 상대 원딜 딜량 두 배네 누가 봐도 원딜 차이야
league | add | verb | 친추하다 | that enemy mid was pretty clean i'm gonna add him after the game | 저 상대 미드 엄청 깔끔하네 겜 끝나고 친추해야지
league | aery | noun | 콩콩이 | aery poke is whittling me down | 콩콩이 포킹 맞으니까 피 다 깎이네
league | aery | noun | 콩콩이 | lux with aery is so annoying | 콩콩이 든 럭스 존나 짜증남
league | aery | noun | 콩콩이 | Stop walking up, Aery's gonna chip you down. | 앞으로 가지 마 콩콩이에 피 다 깎여
league | aery | noun | 콩콩이 | Every time she autos, Aery hits me too. | 평타 칠 때마다 콩콩이까지 같이 맞네
league | aery | noun | 콩콩이 | Dude, Aery damage adds up fast. | 야 콩콩이 은근 피 엄청 깎여
league | aery | noun | 콩콩이 | I'm getting bullied by Aery in lane. | 라인전에서 콩콩이에 계속 맞고 있어
league | afk | verb | 탈주하다 | Mid afked, just ff. | 미드 탈주했어 그냥 서렌 치자
league | afk | verb | 탈주하다 | Our support afked after lane. | 우리 서폿 라인전 끝나고 탈주했어
league | afk | verb | 탈주하다 | Wait, did top actually afk? | 잠깐 탑 진짜 탈주했어?
league | afk | verb | 탈주하다 | Don't fight, our ADC afked. | 싸우지 마 우리 원딜 탈주했어
league | afk | verb | 탈주하다 | Jungle afked and we still won. | 정글 탈주했는데도 이겼네
league | AFK | modifier | 잠수한 | Report the afk jungle. | 잠수한 정글 리폿해줘
league | AFK | modifier | 잠수한 | We can't win with an afk top. | 잠수한 탑 데리고는 못 이겨
league | AFK | modifier | 잠수한 | Why do I always get afk teammates? | 왜 맨날 잠수한 팀원만 걸리냐
league | AFK | modifier | 잠수한 | The afk support came back at 20. | 잠수한 서폿 20분에 돌아왔네
league | AFK | modifier | 잠수한 | Enemy team has an afk mid. | 상대 미드 잠수했어
league | AFK | predicate | 잠수하다 | He went afk after first blood. | 쟤 퍼블 따이고 잠수했어
league | AFK | predicate | 잠수하다 | Bro actually went afk over that? | 아니 저걸로 진짜 잠수했다고?
league | AFK | predicate | 잠수하다 | Don't tell me you're gonna afk. | 설마 너 잠수할 거야?
league | AFK | predicate | 잠수하다 | Our top said one word and went afk. | 우리 탑 한마디 하고 잠수했어
league | AFK | predicate | 잠수하다 | He always afks when lane goes bad. | 쟤 라인전 망하면 맨날 잠수해
league | AFK farm | verb | 정글링만하다 | our master yi is just afk farming | 우리 마스터 이는 진짜 정글링만해
league | AFK farm | verb | 파밍만하다 | adc is afk farming instead of defending | 원딜이 수성 안 하고 파밍만하네
league | AFK farm | verb | 알피지하다 | our jungle is just afk farming | 우리 정글 걍 알피지하네
league | aftershock | noun | 여진 | leona becomes incredibly tanky when aftershock procs | 레오나는 여진 터지면 진짜 미친 듯이 단단해져
league | aftershock | noun | 여진 | you can't kill her through aftershock | 여진 켜져 있으면 쟤 절대 못 죽임
league | aftershock | noun | 여진 | wait out his aftershock before doing damage | 쟤 여진 빠질 때까지 기다렸다가 딜 넣어
league | aftershock | noun | 여진 | engaging with aftershock makes you immortal | 여진 터뜨리고 이니시 걸면 걍 불사신임
league | aggressive | modifier | 공격적인 | we need an aggressive play here | 우리 여기서 공격적인 플레이 필요해
league | aggressive | predicate | 공격플레이하다 | they are being too aggressive | 쟤네 너무 심하게 공격플레이하네
league | aggro | noun | 어그로 | drop the tower aggro | 타워 어그로 빼
league | aggro | noun | 타겟팅 어그로 | juggling aggro perfectly on that dive | 다이브할 때 타겟팅 어그로 핑퐁 개완벽하네
league | aggro drag | noun | 어그로 핑퐁 | nice aggro drag on the dive | 다이브 칠 때 어그로 핑퐁 나이스
league | aggro drag | verb | 어그로분산하다 | let the tank drag aggro before you burst him | 폭딜하기 전에 탱커가 먼저 어그로분산하게 방치해
league | ahead | modifier | 유리한 | push your lead when ahead | 유리한 상태일 때 스노우볼링해
league | ahead | predicate | 유리하다 | we are ahead in gold and dragons | 우리 골드랑 용에서 유리해
league | ahri | noun | 아리 | ahri can easily roam bot lane | 아리는 바텀 로밍 가기 쉬워
league | ahri | noun | 아리 원챔 | fed ahri zooming around dashing 10 times | 잘 큰 아리 원챔충 10단 대쉬하면서 날아다니네
league | akali | noun | 아칼리 | akali has too much mobility in her shroud | 아칼리 장막 안에서 기동성 너무 개사기야
league | akali | noun | 표창싸개 아칼리 | bruiser akali build is completely unkillable | 브루저 템 간 표창싸개 아칼리 진짜 안 죽네
league | akshan | noun | 아크샨 | akshan revived his entire team | 아크샨이 지네 팀 다 살렸어
league | akshan | noun | 부활싸개 아크샨 | akshan revive mechanic is straight up cheating | 부활싸개 아크샨 부활 메커니즘은 걍 대놓고 핵이지
league | alacrity | noun | 민첩함 | stacking alacrity to fix my attack speed | 공속 딸리는 거 커버하려고 민첩함 스택 쌓는 중
league | alacrity | noun | 민첩함 | legend alacrity gives free attack speed | 전설 민첩함은 공속을 꽁짜로 줘
league | alacrity | noun | 공속 룬 | skipping zerkers cause i have alacrity | 공속 룬 있어서 공속신 안 가고 스킵함
league | alcove | noun | 알코브 샛길 | He juked me in the top alcove. | 쟤 탑 알코브 샛길에서 내 스킬 다 피했어.
league | alcove | noun | 구석 샛길 | Hide in the bot alcove. | 바텀 구석 샛길에 숨어봐.
league | alcove | noun | 알코브 샛길 | Wait in the alcove. | 알코브 샛길에서 대기해.
league | alcove | noun | 알코브 샛길 | He ran into the alcove. | 쟤 알코브 샛길로 도망갔어.
league | alistar | noun | 알리스타 | alistar engaged with his combo | 알리스타가 콤보로 이니시 걸었어
league | alistar | noun | 알리 | cowbell spamming alistar tilts the enemy | 젖소 알리가 종 치면서 어그로 끄니까 상대 멘탈 나가네
league | all-chat | verb | 전체채팅하다 | he started to all-chat after getting a lucky shutdown | 쟤 뽀록으로 제압 골드 획득하고 전체채팅하기 시작했어
league | all-in | noun | 올인 쇼부 | Zed is looking for an all-in at 6. | 제드 6렙에 올인 쇼부 보려고 하네.
league | all-in | noun | 올인 쇼부 | We can all-in here. | 여기 올인 쇼부 가능해.
league | all-in | noun | 올인 쇼부 | He's fishing for an all-in. | 쟤 올인 쇼부 각만 보고 있어.
league | all-in | noun | 올인 쇼부 | Don't force the all-in. | 무리하게 올인 쇼부 보지 마.
league | all-in | noun | 올인 | look for an all-in at level 6 | 6렙에 올인 각 봐봐
league | all-in | noun | 킬각 쇼부 | whiffed the entire all-in combo | 킬각 쇼부 쳤는데 콤보 다 빗나갔네
league | all-in | verb | 올인하다 | we all-in at level 2 | 우리 2렙에 올인해
league | amp tome | noun | 증폭의 고서 | backing for an amp tome is a weak spike | 귀환해서 고서 하나 사오는 건 스파이크도 아니지
league | amplifying tome | noun | 고서 | buy an amplifying tome early | 초반에 고서 하나 사
league | amumu | noun | 아무무 | amumu landed a massive five-man ult | 아무무가 5인 궁 대박 냈어
league | amumu | noun | 무무 | crying amumu melting everyone with percent hp damage | 존나 우는 무무가 퍼뎀으로 애들 다 녹이고 있네
league | anivia | noun | 애니비아 | anivia stalled the game with her waveclear | 애니비아가 라인 클리어로 겜 존나 끌었어
