basketball | 3-and-D | noun | 3앤D | Thompson is the ultimate 3-and-D. | 탐슨은 최고의 3앤D야.
basketball | 3-and-D | noun | 3앤D | He's a classic 3-and-D wing. | 전형적인 3앤D 윙이야.
basketball | 3-and-D | noun | 3앤D | Teams value 3-and-D players. | 3앤D 선수 가치는 높아.
basketball | 3-and-D | noun | 3앤D | That lineup needs more 3-and-D. | 저 라인업엔 3앤D가 부족해.
basketball | airball | noun | 에어볼 | George shoots a terrible airball. | 조지가 끔찍한 에어볼을 던졌네.
basketball | airball | noun | 에어볼 | That was a clean airball. | 깔끔한 에어볼이네.
basketball | airball | noun | 에어볼 | He missed with an airball. | 에어볼 냈네.
basketball | airball | noun | 에어볼 | Don't clip that airball. | 그 에어볼은 박제하지 마.
basketball | airball | noun | 에어볼 | George shoots an airball. | 조지가 에어볼 냈네.
basketball | airball | noun | 에어볼 | Complete airball. | 완전 에어볼이다.
basketball | airball | noun | 에어볼 | He missed everything. | 공기가 더 맞았네.
basketball | airball | noun | 에어볼 | That's going on the highlights. | 에어볼 박제감이네.
basketball | Allen Iverson | noun | 앨런 아이버슨 | Allen Iverson crossed him up. | 앨런 아이버슨이 수비를 벗겨냈어.
basketball | Allen Iverson | noun | 앨런 아이버슨 | Allen Iverson got into the lane. | 앨런 아이버슨이 페인트존으로 들어갔어.
basketball | Allen Iverson | noun | 앨런 아이버슨 | Allen Iverson carried the scoring load. | 앨런 아이버슨이 득점을 책임졌어.
basketball | Allen Iverson | noun | 앨런 아이버슨 | Allen Iverson played with no fear. | 앨런 아이버슨은 겁 없이 뛰었어.
basketball | alley-oop | noun | 앨리웁 | Lob City alley-oop to Griffin. | 그리핀 앨리웁 성공.
basketball | alley-oop | noun | 앨리웁 | What an alley-oop. | 앨리웁 미쳤네.
basketball | alley-oop | noun | 앨리웁 | They connected on the alley-oop. | 앨리웁 성공했다.
basketball | alley-oop | noun | 앨리웁 | Easy alley-oop finish. | 앨리웁 마무리 깔끔하네.
basketball | alley-oop | verb | 앨리웁하다 | He alley-ooped it to Zion. | 자이언에게 앨리웁했어.
basketball | alley-oop | verb | 앨리웁하다 | Paul alley-ooped it inside. | 폴이 안으로 앨리웁했어.
basketball | alley-oop | verb | 앨리웁하다 | He alley-ooped it over the top. | 수비 위로 앨리웁했어.
basketball | alley-oop | verb | 앨리웁하다 | He alley-ooped it to the rim. | 림 근처로 앨리웁했어.
basketball | Alonzo Mourning | noun | 알론조 모닝 | Alonzo Mourning came up with the block. | 알론조 모닝이 블록을 기록했어.
basketball | Alonzo Mourning | noun | 알론조 모닝 | Alonzo Mourning controlled the paint. | 알론조 모닝이 골밑을 장악했어.
basketball | Alonzo Mourning | noun | 알론조 모닝 | Alonzo Mourning played with intensity. | 알론조 모닝이 강하게 뛰었어.
